一	135314
一一	2868
一万	2475
一下	95120
一下吧	1485
一下子	4704
一不小心	1378
一世	1297
一丝	3157
一两	1433
一个	374279
一个劲	1123
一中	1403
一串	1258
一举	1632
一书	1129
一事	1813
一二	1298
一些	70271
一些东西	1155
一些事情	1079
一些人	2163
一些问题	1423
一亮	1167
一人	5437
一代	4611
一代人	1075
一件	6738
一件事	2239
一件事情	1483
一份	10964
一伙	1146
一会	12452
一会儿	6205
一位	13973
一体	3077
一体化	2013
一体机	1119
一例	1179
一侧	1335
一倍	1705
一元	1198
一共	4826
一再	2045
一出	2000
一击	1080
一刀	1535
一分	2419
一切	23018
一切都是	1443
一则	1480
一到	1741
一刹那	1132
一刻	2407
一剑	1066
一副	3260
一动	1187
一包	1382
一匹	1059
一区	1065
一千	2419
一千多	1039
一半	7796
一卡通	1114
一卷	1017
一去	1052
一双	2771
一口	3616
一口一口	1454
一口气	2508
一句	8643
一句话	5761
一只	7929
一只手	1357
一台	5165
一号	2543
一同	2453
一名	7702
一向	3279
一听	2050
一周	5414
一味	1981
一回	3276
一回事	1398
一团	1649
一国	1021
一圈	2683
一地	1113
一场	8404
一块	8322
一块儿	1054
一堂	1001
一堆	4148
一塌糊涂	1566
一声	7241
一处	2411
一夜	2796
一夜之间	1083
一夜情	1537
一大	4066
一大堆	2254
一大早	1343
一天	18744
一天到晚	1140
一天天	1178
一头	2739
一套	7775
一如	1317
一如既往	1446
一字	1234
一季	1010
一季度	1744
一定	56966
一定程度	2406
一定要把	1015
一审	1229
一家	14554
一寸	1145
一对	3680
一对一	1107
一封	1930
一封信	1279
一小	1840
一局	1000
一层	3706
一届	1470
一岁	1337
一带	2177
一帮	1870
一幅	2214
一幕	1989
一幢	1014
一年	14705
一年一度	1002
一年内	1036
一年前	1181
一年半	1047
一年后	1102
一年多	1712
一年的	1552
一并	1442
一度	3214
一座	3315
一张	12392
一律	2330
一心	1635
一惊	1244
一想	1251
一愣	1028
一战	1120
一户	1083
一所	1881
一手	2774
一批	5836
一把	6746
一把手	1045
一抹	1247
一招	1382
一排	1458
一支	3949
一改	1163
一整天	1271
一整套	1004
一文	1035
一斤	1475
一方	3414
一旁	1933
一族	1761
一无所有	1073
一无所知	1012
一日	2448
一旦	8541
一早	1809
一时	4351
一时间	1459
一是	6905
一晃	1005
一晚	1484
一曲	1319
一月	1837
一期	2888
一本	4530
一朵	1646
一束	1087
一条	11873
一条街	1059
一条路	1087
一来	1618
一杯	2494
一枚	1600
一枝	1018
一枪	1060
一架	1456
一栋	1220
一样	65596
一根	3636
一案	1028
一桌	1051
一棵	1532
一棵树	1020
一楼	1950
一概	1087
一模一样	1583
一次	34106
一次性	2805
一次次	1762
一款	5285
一步	3944
一步一步	1368
一步步	1477
一段	8833
一段时间	5340
一段话	1014
一汽	1345
一波	1659
一派	1271
一流	2883
一滴	1186
一点	39999
一点一点	1144
一点也不	1682
一点儿	1508
一点点	4734
一片	8294
一版	1064
一环	1107
一班	1468
一球	1157
一瓶	2013
一生	7207
一番	4217
一百	2778
一百多	1274
一盒	1307
一盘	1426
一目了然	1042
一直	54109
一直以为	1108
一直以来	1784
一直没有	1967
一直都在	1041
一看	5691
一眼	4157
一瞬间	1478
一碗	1697
一票	1442
一种	28976
一秒	1297
一站	1213
一章	1226
一端	1062
一笑	2791
一笔	2964
一等	1047
一等奖	1434
一篇	4706
一篇文章	1518
一米	1293
一类	2845
一粒	1289
一系列	4409
一系列的	1385
一级	3844
一线	3157
一组	3141
一经	1313
一缕	1207
一群	4480
一群人	1346
一股	3309
一脚	1991
一脸	2439
一致	7601
一致性	1121
一般	48505
一般人	2000
一般来说	1608
一艘	1184
一节	1469
一行	3351
一见	1375
一见钟情	1121
一览	1245
一觉	1372
一角	1447
一言	1123
一记	1182
一词	1291
一说	2162
一贯	2304
一起	56621
一起分享	1088
一起去	2316
一起吃	1039
一起玩	1184
一趟	2888
一跃	1018
一路	5971
一跳	1838
一身	3786
一轮	2182
一辆	4086
一辆车	1151
一辈子	4943
一边	11126
一进	1053
一连	1068
一连串	1176
一通	1346
一遍	5354
一道	4389
一部	6706
一键	1148
一门	1845
一闪	1087
一问	1141
一间	2785
一队	1123
一阵	5137
一阵子	1507
一阵阵	1014
一集	1317
一面	4953
一页	1737
一顶	1100
一项	6194
一顿	3313
一颗	4053
一首	3512
一首歌	1618
一齐	1581
丁	4862
丁丁	1222
丁俊晖	1097
丁香	1017
七	7236
七七	1058
七个	1548
七八	1663
七十	1211
七夕	1428
七大	1197
七天	1382
七年	1711
七彩	1059
七彩虹	1046
七成	1015
七星	1053
七月	1860
七点	1219
万	26364
万一	4186
万万	1155
万个	1088
万事	1272
万亩	1154
万人	2523
万人次	1030
万亿	1389
万余	1274
万元	7650
万元以上	1079
万分	1711
万千	1139
万名	1303
万吨	2086
万多	1597
万家	1019
万岁	1632
万年	1270
万恶	1067
万物	1646
万科	2494
万美元	2466
万股	1208
万能	1482
万辆	1016
万达	1053
万里	1761
丈	1033
丈夫	5864
三	27727
三万	1083
三个	12421
三个人	1798
三个代表	1116
三个字	1224
三个方面	1130
三个月	3013
三五	1115
三亚	1849
三人	2668
三代	1240
三位	1971
三元	1143
三分	2103
三分之一	1605
三分之二	1050
三分钟	1079
三十	3324
三十六	1006
三十岁	1026
三千	1646
三口	1015
三只	1088
三号	1077
三名	1354
三四	1615
三国	2630
三国志	1059
三多	1013
三大	4166
三天	3533
三季度	1261
三家	1601
三层	1526
三岁	1135
三峡	1661
三年	5881
三年前	1069
三张	1133
三成	1014
三方	1371
三日	1105
三星	4383
三是	3880
三月	1846
三期	1359
三条	1466
三楼	1419
三次	3039
三款	1129
三毛	1015
三洋	1023
三点	1948
三环	1103
三百	1495
三种	2985
三等奖	1013
三类	1254
三级	2242
三级片	1018
三维	1929
三者	1225
三联	1033
三聚氰胺	1192
三菱	1408
三角	1690
三角形	1208
三轮	1015
三轮车	1062
三部	1071
三项	1469
三鹿	1123
上	285526
上一	1489
上一次	1183
上一篇	1167
上一页	1228
上万	1139
上下	4352
上下班	1215
上不了	1201
上不去	1440
